title,content
什么是基金的管理费？,基金管理费指基金管理人管理基金资产所收取的报酬。基金管理人可按固定费率或固定费率加提业绩表现费的方式收取管理费。业绩表现费指固定管理费之外的支付给基金管理人的与基金业绩挂钩的费用。按固定费率收取的管理费按基金资产净值的一定比例逐日计算，按月提取。国内的管理费通常为1.5%，根据不同的基金类型也会有所不同。日管理费＝计算日基金资产净值×管理费率÷当年天数。
什么是基金托管费？,基金托管费是指基金托管人托管基金资产所收取的费用，通常按基金资产净值的一定比例逐日计算，按月提取。国内的托管费通常为0.25%，根据不同的基金类型也会有所不同。日托管费＝计算日基金资产净值×托管费率÷当年天数。
什么是基金销售服务费？,销售服务费主要用于支付销售机构佣金、以及基金管理人的基金行销广告费、促销活动费、持有人服务费等。并不是所有基金都有销售服务费，通常是货币基金或C类的债券基金会有销售服务费。
什么是前端/后端收费？,这是针对基金的认/申购费而言的。如果认/申购费是在购买基金时收取，通常按照购买金额的大小递减，称为前端收费；在赎回时补收认/申费的，通常按照基金持有时间的长短递减，称为后端收费。有些后端收费在持有基金到达一定年限后可免除。
申购基金的计算公式？,外扣法：适用于前端申购费，前端申购费=申购金额÷（1+相应的申购费率）×相应的申购费率，净申购金额=申购金额-申购费，申购份额=净申购金额÷申购当日基金份额净值。内扣法：适用于后端申购费，后端申购费=申购金额×相应的申购费率（部分赎回时，后端申购费=赎回份额×申购当天净值×相应的申购费率），申购份额=净申购金额÷申购当日基金份额净值。拆分后的基金后端申购费的计算：拆分后的基金后端申购费=赎回的份额×(申购日基金份额净值÷拆分比例)×对应的后端申购费率。拆分后基金累计净值的计算：T日基金份额累计净值=（T日基金份额净值+拆分后份额分红金额）×拆分比例+拆分前份额分红金额。
赎回费是如何计算的？,赎回总金额=赎回份额×T日基金份额净值；赎回费用=赎回总金额×赎回费率；净赎回金额=赎回总金额-赎回费用。
如何计算转换费用?,转换费用＝转出基金的赎回费＋转出转入基金的申购补差费，费用分为以下两种情况计算：（1） 转入基金的申购费率＞转出基金的申购费率，补差费用＝(转出金额－赎回费用)×申购补差费率/（1+申购补差费率）。（2） 转入基金的申购费率 ≤转出基金的申购费率，补差费用＝0，转入金额=转出金额-转换费用，转入份额=转入金额/转入基金转入当日基金份额净值
红利再投资份额需要缴纳申购费和赎回费吗？,不论是前端收费、后端收费模式还是C类收费模式下，红利再投资份额没有申购费。赎回时需要缴纳赎回费，红利再投份额自其份额确认日起计算持有时间，赎回时根据其持有时间对应的赎回费率计算赎回费用。
期间经过拆分和分红的基金，分红所得的份额赎回费用的计算方法？,（拆分前所得分红份额*拆分比例）*基金当日净值*相应的赎回费率+拆分后分红所得份额*基金当日净值*相应的赎回费率。
投资者进行基金交易需要直接支付的费用有哪些？,投资者在认申购和赎回基金（非货币市场基金）时，需要支付认购费、申购费和赎回费。
投资者应该什么时候支付管理费和托管费？,管理费及托管费从基金资产中每日计提，按月支付，计算方法如下：每日计提的管理费（或托管费）＝前一日基金资产净值×管理费率（或托管费率）÷当年天数，管理费和托管费均直接从基金资产中扣除，不需投资者直接支付。
通过定期投资的基金份额，赎回时如何收费？,根据基金交易规则，一般基金赎回时遵循“先进先出”原则。若投资者办理的是定期投资业务，由于每笔定期投资的基金份额持有期不同，系统会按照投资者每笔交易的确认时间分别计算持有期，进而分别计算赎回费用。并不是统一按照最初一笔定投或最后一笔定投的确认时间来计算。
持有的基金份额已经超过两年了，为什么赎回的时候还有交易费用？,（1）基金持有时间未达到免赎回费用标准，并非所有基金持有满两年便不收取赎回费用。（2）赎回的是后端收费模式基金，虽持有时间已达到前端免赎回费用标准，但尚未达到免后端申购费用标准。（盈米财富不支持后端收费模式）。（3）基金的分红方式为红利再投资，红利再投资获得的基金份额持有时间未达到免赎回费用标准。
办理转托管和非交易过户需要收取费用吗？,目前，盈米财富对转托管和非交易过户不收取费用。
